,sno,return_time,country,size,size2,size3,size4,Occasion
531,531,10 Days Return Policy?,India,S,M,L,XL,
532,532,None,India,S,M,L,XL,
533,533,None,India,S,M,L,XL,
534,534,None,India,S,M,L,XL,
535,535,None,India,S,M,L,XL,
536,536,None,India,S,M,L,XL,
537,537,None,India,S,M,L,XL,
538,538,None,India,S,M,L,XL,
539,539,None,India,S,M,L,XL,
540,540,None,India,S,M,L,XL,
541,541,None,India,S,M,L,XL,
542,542,None,India,S,M,L,XL,
543,543,None,India,S,M,L,XL,
544,544,None,India,S,M,L,XL,
545,545,10 Days Return Policy?,India,S,M,L,XL,
546,546,None,India,S,M,L,XL,
547,547,10 Days Return Policy?,India,S,M,L,XL,
548,548,10 Days Return Policy?,India,S,M,L,XL,
549,549,None,India,S,M,L,XL,
550,550,None,India,S,M,L,XL,
551,551,10 Days Return Policy?,India,S,M,L,XL,
552,552,10 Days Return Policy?,India,S,M,L,XL,
553,553,10 Days Return Policy?,India,S,M,L,XL,
554,554,None,India,S,M,L,XL,
555,555,10 Days Return Policy?,India,S,M,L,XL,
556,556,10 Days Return Policy?,India,S,M,L,XL,
557,557,10 Days Return Policy?,India,S,M,L,XL,
558,558,10 Days Return Policy?,India,S,M,L,XL,
559,559,10 Days Return Policy?,India,S,M,L,XL,
560,560,10 days return policy?,India,S,M,L,XL,
561,561,10 days return policy?,India,S,M,L,XL,
562,562,10 Days Return Policy?,India,S,M,L,XL,
563,563,None,India,S,M,L,XL,
564,564,10 Days Return Policy?,India,S,M,L,XL,
565,565,None,India,S,M,L,XL,
566,566,10 days return policy?,India,S,M,L,XL,
567,567,None,India,S,M,L,XL,
568,568,None,India,S,M,L,XL,
569,569,None,India,S,M,L,XL,
570,570,None,India,S,M,L,XL,
571,571,10 Days Return Policy?,India,S,M,L,XL,
572,572,None,India,S,M,L,XL,
573,573,None,India,S,M,L,XL,
574,574,None,India,S,M,L,XL,
575,575,None,India,S,M,L,XL,
576,576,None,India,S,M,L,XL,
577,577,None,India,S,M,L,XL,
578,578,None,India,S,M,L,XL,
579,579,None,India,S,M,L,XL,
580,580,None,India,S,M,L,XL,
581,581,None,India,S,M,L,XL,
582,582,None,India,S,M,L,XL,
583,583,None,India,S,M,L,XL,
584,584,None,India,S,M,L,XL,
585,585,None,India,S,M,L,XL,
586,586,None,India,S,M,L,XL,
587,587,10 Days Return Policy?,India,S,M,L,XL,
588,588,10 Days Return Policy?,India,S,M,L,XL,
589,589,None,India,S,M,L,XL,
590,590,None,India,S,M,L,XL,
591,591,10 Days Return Policy?,India,S,M,L,XL,
592,592,10 Days Return Policy?,India,S,M,L,XL,
593,593,10 Days Return Policy?,India,S,M,L,XL,
594,594,None,India,S,M,L,XL,
595,595,10 Days Return Policy?,India,S,M,L,XL,
596,596,10 Days Return Policy?,India,S,M,L,XL,
597,597,10 Days Return Policy?,India,S,M,L,XL,
598,598,10 Days Return Policy?,India,S,M,L,XL,
599,599,10 Days Return Policy?,India,S,M,L,XL,
600,600,10 days return policy?,India,S,M,L,XL,
601,601,10 days return policy?,India,S,M,L,XL,
602,602,10 Days Return Policy?,India,S,M,L,XL,
603,603,None,India,S,M,L,XL,
604,604,10 Days Return Policy?,India,S,M,L,XL,
605,605,None,India,S,M,L,XL,
606,606,10 days return policy?,India,S,M,L,XL,
607,607,None,India,S,M,L,XL,
608,608,None,India,S,M,L,XL,
609,609,None,India,S,M,L,XL,
610,610,None,India,S,M,L,XL,
611,611,10 Days Return Policy?,India,S,M,L,XL,
612,612,None,India,S,M,L,XL,
613,613,None,India,S,M,L,XL,
614,614,None,India,S,M,L,XL,
615,615,None,India,S,M,L,XL,
616,616,None,India,S,M,L,XL,
617,617,None,India,S,M,L,XL,
618,618,None,India,S,M,L,XL,
619,619,None,India,S,M,L,XL,
620,620,None,India,S,M,L,XL,
621,621,None,India,S,M,L,XL,
622,622,None,India,S,M,L,XL,
623,623,None,India,S,M,L,XL,
624,624,None,India,S,M,L,XL,
625,625,10 Days Return Policy?,India,S,M,L,XL,
626,626,None,India,S,M,L,XL,
627,627,10 Days Return Policy?,India,S,M,L,XL,
628,628,10 Days Return Policy?,India,S,M,L,XL,
629,629,None,India,S,M,L,XL,
630,630,None,India,S,M,L,XL,
631,631,10 Days Return Policy?,India,S,M,L,XL,
632,632,10 Days Return Policy?,India,S,M,L,XL,
633,633,10 Days Return Policy?,India,S,M,L,XL,
634,634,None,India,S,M,L,XL,
635,635,10 Days Return Policy?,India,S,M,L,XL,
636,636,10 Days Return Policy?,India,S,M,L,XL,
637,637,10 Days Return Policy?,India,S,M,L,XL,
638,638,10 Days Return Policy?,India,S,M,L,XL,
639,639,10 Days Return Policy?,India,S,M,L,XL,
640,640,10 days return policy?,India,S,M,L,XL,
