,sno,Brand_name,Category,Product_type,Product_name,Price,Product_code
3606,3606,Chanda Khuba,"Men Regular, Slim, Tailored Fit Solid Mandarin Collar C...","Men Regular, Slim, Tailored Fit Solid Mandarin Collar C...","Men Regular, Slim, Tailored Fit Solid Mandarin Collar C...","₹1,490",
3607,3607,Chanda Khuba,"Men Slim, Regular, Tailored Fit Solid Mandarin Collar C...","Men Slim, Regular, Tailored Fit Solid Mandarin Collar C...","Men Slim, Regular, Tailored Fit Solid Mandarin Collar C...","₹1,490",
3608,3608,VALKO FASHION,Men Slim Mid Rise Black Jeans,Men Slim Mid Rise Black Jeans,Men Slim Mid Rise Black Jeans,₹319,
3609,3609,Indi Hemp,"Men Regular, Slim, Tailored Fit Solid Button Down Colla...","Men Regular, Slim, Tailored Fit Solid Button Down Colla...","Men Regular, Slim, Tailored Fit Solid Button Down Colla...",₹499,
3610,3610,Chanda Khuba,Men Slim Fit Checkered Button Down Collar Casual Shirt,Men Slim Fit Checkered Button Down Collar Casual Shirt,Men Slim Fit Checkered Button Down Collar Casual Shirt,"₹1,490",
3611,3611,Chanda Khuba,Men Regular Fit Solid Casual Shirt,Men Regular Fit Solid Casual Shirt,Men Regular Fit Solid Casual Shirt,"₹1,490",
3612,3612,Indi Hemp,"Men Regular, Slim, Tailored Fit Solid Cut Away Collar C...","Men Regular, Slim, Tailored Fit Solid Cut Away Collar C...","Men Regular, Slim, Tailored Fit Solid Cut Away Collar C...",₹499,
3613,3613,Indi Hemp,"Men Regular, Slim, Tailored Fit Solid Button Down Colla...","Men Regular, Slim, Tailored Fit Solid Button Down Colla...","Men Regular, Slim, Tailored Fit Solid Button Down Colla...",₹499,
3614,3614,Indi Hemp,Men Slim Mid Rise Black Jeans,Men Slim Mid Rise Black Jeans,Men Slim Mid Rise Black Jeans,₹499,
3615,3615,Indi Hemp,"Men Regular, Slim, Tailored Fit Printed Button Down Col...","Men Regular, Slim, Tailored Fit Printed Button Down Col...","Men Regular, Slim, Tailored Fit Printed Button Down Col...",₹499,
3616,3616,Chanda Khuba,Men Slim Fit Solid Cut Away Collar Casual Shirt,Men Slim Fit Solid Cut Away Collar Casual Shirt,Men Slim Fit Solid Cut Away Collar Casual Shirt,"₹1,490",
